t, u_C, u_R, u_E, i
2.3999999999999999, 2.2602091081751805, 0.7397908918248195, 3, 0.7397908918248195
2.4100000000000001, 2.2675701505396888, 0.73242984946031098, 3, 0.73242984946031098
2.4199999999999999, 2.274857949308891, 0.72514205069110926, 3, 0.72514205069110926
2.4300000000000002, 2.2820732332687363, 0.71792676673126343, 3, 0.71792676673126343
2.4399999999999999, 2.2892167239536345, 0.71078327604636526, 3, 0.71078327604636526
2.4500000000000002, 2.2962891357186068, 0.70371086428139284, 3, 0.70371086428139284
2.46, 2.3032911758107235, 0.69670882418927649, 3, 0.69670882418927649
2.4700000000000002, 2.3102235444398285, 0.68977645556017131, 3, 0.68977645556017131
2.48, 2.3170869348485614, 0.68291306515143835, 3, 0.68291306515143835
2.4900000000000002, 2.3238820333816839, 0.67611796661831614, 3, 0.67611796661831614
2.5, 2.3306095195547107, 0.66939048044528948, 3, 0.66939048044528948
2.5099999999999998, 2.3372700661218655, 0.66272993387813472, 3, 0.66272993387813472
2.52, 2.3438643391433556, 0.65613566085664421, 3, 0.65613566085664421
2.5299999999999998, 2.3503929980519791, 0.64960700194802123, 3, 0.64960700194802123
2.54, 2.356856695719066, 0.64314330428093391, 3, 0.64314330428093391
2.5499999999999998, 2.3632560785197709, 0.63674392148022929, 3, 0.63674392148022929
2.5600000000000001, 2.3695917863977058, 0.63040821360229415, 3, 0.63040821360229415
2.5699999999999998, 2.3758644529289383, 0.62413554707106156, 3, 0.62413554707106156
2.5800000000000001, 2.3820747053853495, 0.61792529461465051, 3, 0.61792529461465051
2.5899999999999999, 2.3882231647973597, 0.61177683520264048, 3, 0.61177683520264048
2.6000000000000001, 2.3943104460160338, 0.60568955398396618, 3, 0.60568955398396618
2.6099999999999999, 2.4003371577745662, 0.59966284222543353, 3, 0.59966284222543353
2.6200000000000001, 2.4063039027491557, 0.59369609725084405, 3, 0.59369609725084405
2.6299999999999999, 2.4122112776192717, 0.5877887223807281, 3, 0.5877887223807281
2.6400000000000001, 2.4180598731273242, 0.5819401268726756, 3, 0.5819401268726756
2.6499999999999999, 2.4238502741377377, 0.57614972586226243, 3, 0.57614972586226243
2.6600000000000001, 2.4295830596954384, 0.57041694030456147, 3, 0.57041694030456147
