ReY,       ImY
2.0713376, 0.3415578
2.0738084, 0.3341812
2.0761734, 0.3269467
2.0784371, 0.3198529
2.0806035, 0.3128979
2.0826766, 0.3060802
2.0846602, 0.2993978
2.0865581, 0.2928491
2.0883738, 0.286432
2.0901108, 0.2801449
2.0917722, 0.2739856
2.0933614, 0.2679524
2.0948813, 0.2620431
2.0963348, 0.256256
2.0977249, 0.2505889
2.099054,  0.24504
2.1003249, 0.2396072
2.1015401, 0.2342885
2.1027019, 0.2290821
2.1038126, 0.2239858
2.1048744, 0.2189977
2.1058894, 0.2141159
2.1068596, 0.2093384
2.107787,  0.2046634
2.1086735, 0.2000888
2.1095207, 0.1956127
2.1103304, 0.1912334
2.1111043, 0.186949
2.1118439, 0.1827575
2.1125506, 0.1786572
2.113226,  0.1746463
2.1138714, 0.170723
2.1144882, 0.1668855
2.1150775, 0.1631322
2.1156406, 0.1594613
2.1161786, 0.1558711
2.1166927, 0.1523601
2.1171838, 0.1489265
2.1176531, 0.1455688
2.1181014, 0.1422853
2.1185298, 0.1390746
2.118939,  0.1359352
2.11933,   0.1328654
2.1197034, 0.1298639
2.1200603, 0.1269292
2.1204011, 0.1240599
2.1207267, 0.1212546
2.1210378, 0.1185118
2.1213349, 0.1158304
2.1216188, 0.1132089
2.1218899, 0.1106461
2.1221489, 0.1081407
2.1223963, 0.1056914
2.1226327, 0.1032971
2.1228584, 0.1009565
2.123074,  0.0986685
2.12328,   0.0964319
2.1234767, 0.0942456
2.1236646, 0.0921084
2.1238441, 0.0900194
2.1240155, 0.0879774
2.1241793, 0.0859814
2.1243357, 0.0840304
2.124485,  0.0821234
2.1246277, 0.0802595
2.124764,  0.0784376
2.1248941, 0.0766568
2.1250184, 0.0749163
2.1251372, 0.073215
2.1252506, 0.0715523
2.1253589, 0.0699271
2.1254623, 0.0683387
2.1255611, 0.0667862
2.1256555, 0.0652689
2.1257456, 0.0637859
2.1258317, 0.0623365
2.1259139, 0.0609199
2.1259924, 0.0595354
2.1260674, 0.0581822
2.126139,  0.0568598
2.1262074, 0.0555673
2.1262727, 0.0543041
2.1263351, 0.0530695
2.1263946, 0.051863
2.1264515, 0.0506838
2.1265059, 0.0495313
2.1265578, 0.048405
2.1266073, 0.0473043
2.1266547, 0.0462286
2.1266999, 0.0451772
2.1267431, 0.0441498
2.1267843, 0.0431456
2.1268237, 0.0421643
2.1268613, 0.0412052
2.1268972, 0.040268
2.1269315, 0.039352
2.1269643, 0.0384568
2.1269955, 0.037582
2.1270254, 0.036727
2.1270539, 0.0358915
2.1270812, 0.035075
2.1271072, 0.034277
2.1271321, 0.0334971
2.1271558, 0.032735
2.1271785, 0.0319902
2.1272001, 0.0312624
2.1272208, 0.030551
2.1272405, 0.0298559
2.1272594, 0.0291765
2.1272774, 0.0285126
2.1272946, 0.0278638
2.127311,  0.0272298
2.1273267, 0.0266102
2.1273417, 0.0260046
2.127356,  0.0254129
2.1273697, 0.0248346
2.1273827, 0.0242694
2.1273952, 0.0237171
2.1274071, 0.0231774
2.1274184, 0.0226499
2.1274293, 0.0221344
2.1274396, 0.0216307
2.1274495, 0.0211384
2.127459,  0.0206573
2.127468,  0.0201872
2.1274766, 0.0197278
2.1274849, 0.0192788
2.1274927, 0.01884
2.1275002, 0.0184112
2.1275074, 0.0179922
2.1275143, 0.0175827
2.1275208, 0.0171825
2.127527,  0.0167915
2.127533,  0.0164093
2.1275387, 0.0160358
2.1275441, 0.0156708
2.1275493, 0.0153142
2.1275543, 0.0149656
2.127559,  0.014625
2.1275636, 0.0142921
2.1275679, 0.0139668
2.127572,  0.0136489
2.127576,  0.0133382
2.1275797, 0.0130346
2.1275833, 0.012738
2.1275867, 0.012448
2.12759,   0.0121647
2.1275932, 0.0118878
2.1275961, 0.0116172
2.127599,  0.0113528
2.1276017, 0.0110944
2.1276043, 0.0108419
2.1276068, 0.0105951
