ReZ,  ImZ
0.47, -0.026261
0.47, -0.0256632
0.47, -0.0250791
0.47, -0.0245082
0.47, -0.0239503
0.47, -0.0234051
0.47, -0.0228724
0.47, -0.0223517
0.47, -0.0218429
0.47, -0.0213457
0.47, -0.0208599
0.47, -0.020385
0.47, -0.019921
0.47, -0.0194675
0.47, -0.0190244
0.47, -0.0185914
0.47, -0.0181682
0.47, -0.0177546
0.47, -0.0173505
0.47, -0.0169555
0.47, -0.0165696
0.47, -0.0161924
0.47, -0.0158238
0.47, -0.0154636
0.47, -0.0151116
0.47, -0.0147676
0.47, -0.0144315
0.47, -0.014103
0.47, -0.013782
0.47, -0.0134683
0.47, -0.0131617
0.47, -0.0128621
0.47, -0.0125693
0.47, -0.0122832
0.47, -0.0120036
0.47, -0.0117304
0.47, -0.0114633
0.47, -0.0112024
0.47, -0.0109474
0.47, -0.0106982
0.47, -0.0104547
0.47, -0.0102167
0.47, -0.0099842
0.47, -0.0097569
0.47, -0.0095348
0.47, -0.0093178
0.47, -0.0091057
0.47, -0.0088984
0.47, -0.0086958
0.47, -0.0084979
0.47, -0.0083045
0.47, -0.0081154
0.47, -0.0079307
0.47, -0.0077502
0.47, -0.0075738
0.47, -0.0074014
0.47, -0.0072329
0.47, -0.0070682
0.47, -0.0069073
0.47, -0.0067501
0.47, -0.0065965
0.47, -0.0064463
0.47, -0.0062996
0.47, -0.0061562
0.47, -0.006016
0.47, -0.0058791
0.47, -0.0057453
0.47, -0.0056145
0.47, -0.0054867
0.47, -0.0053618
0.47, -0.0052398
0.47, -0.0051205
0.47, -0.0050039
0.47, -0.00489
0.47, -0.0047787
0.47, -0.0046699
0.47, -0.0045636
0.47, -0.0044598
0.47, -0.0043582
0.47, -0.004259
0.47, -0.0041621
0.47, -0.0040673
0.47, -0.0039748
0.47, -0.0038843
0.47, -0.0037959
0.47, -0.0037095
0.47, -0.003625
0.47, -0.0035425
0.47, -0.0034619
0.47, -0.0033831
0.47, -0.0033061
0.47, -0.0032308
0.47, -0.0031573
0.47, -0.0030854
0.47, -0.0030152
0.47, -0.0029465
0.47, -0.0028795
0.47, -0.0028139
0.47, -0.0027499
0.47, -0.0026873
0.47, -0.0026261
0.47, -0.0025663
0.47, -0.0025079
0.47, -0.0024508
0.47, -0.002395
0.47, -0.0023405
