Freq.	V(n001)/I(C)
1.31825673855640e+003	4.70000000000000e+002,-1.77546133506704e+002
1.34896288259165e+003	4.70000000000000e+002,-1.73504690099540e+002
1.38038426460288e+003	4.70000000000000e+002,-1.69555241175674e+002
1.41253754462275e+003	4.70000000000000e+002,-1.65695692685008e+002
1.44543977074592e+003	4.70000000000000e+002,-1.61923998243845e+002
1.47910838816820e+003	4.70000000000000e+002,-1.58238158049869e+002
1.51356124843620e+003	4.70000000000000e+002,-1.54636217821820e+002
1.54881661891247e+003	4.70000000000000e+002,-1.51116267763313e+002
1.58489319246110e+003	4.70000000000000e+002,-1.47676441550234e+002
1.62181009735892e+003	4.70000000000000e+002,-1.44314915341194e+002
1.65958690743755e+003	4.70000000000000e+002,-1.41029906810501e+002
1.69824365246173e+003	4.70000000000000e+002,-1.37819674203151e+002
1.73780082874936e+003	4.70000000000000e+002,-1.34682515411323e+002
1.77827941003891e+003	4.70000000000000e+002,-1.31616767071899e+002
1.81970085860997e+003	4.70000000000000e+002,-1.28620803684531e+002
1.86208713666286e+003	4.70000000000000e+002,-1.25693036749775e+002
1.90546071796323e+003	4.70000000000000e+002,-1.22831913926846e+002
1.94984459975803e+003	4.70000000000000e+002,-1.20035918210554e+002
1.99526231496887e+003	4.70000000000000e+002,-1.17303567126961e+002
2.04173794466952e+003	4.70000000000000e+002,-1.14633411947355e+002
2.08929613085403e+003	4.70000000000000e+002,-1.12024036920116e+002
2.13796208950222e+003	4.70000000000000e+002,-1.09474058520065e+002
2.18776162394954e+003	4.70000000000000e+002,-1.06982124714902e+002
2.23872113856832e+003	4.70000000000000e+002,-1.04546914248339e+002
2.29086765276776e+003	4.70000000000000e+002,-1.02167135939552e+002
2.34422881531991e+003	4.70000000000000e+002,-9.98415279985823e+001
2.39883291901947e+003	4.70000000000000e+002,-9.75688573573164e+001
2.45470891568501e+003	4.70000000000000e+002,-9.53479190156979e+001
2.51188643150956e+003	4.70000000000000e+002,-9.31775354028203e+001
2.57039578276885e+003	4.70000000000000e+002,-9.10565557525639e+001
2.63026799189536e+003	4.70000000000000e+002,-8.89838554934431e+001
2.69153480392690e+003	4.70000000000000e+002,-8.69583356523461e+001
2.75422870333815e+003	4.70000000000000e+002,-8.49789222718409e+001
2.81838293126443e+003	4.70000000000000e+002,-8.30445658407539e+001
2.88403150312659e+003	4.70000000000000e+002,-8.11542407377002e+001
2.95120922666636e+003	4.70000000000000e+002,-7.93069446872893e+001
3.01995172040199e+003	4.70000000000000e+002,-7.75016982287026e+001
3.09029543251357e+003	4.70000000000000e+002,-7.57375441963728e+001
3.16227766016836e+003	4.70000000000000e+002,-7.40135472124818e+001
3.23593656929626e+003	4.70000000000000e+002,-7.23287931910067e+001
3.31131121482589e+003	4.70000000000000e+002,-7.06823888530672e+001
3.38844156139200e+003	4.70000000000000e+002,-6.90734612532896e+001
3.46736850452529e+003	4.70000000000000e+002,-6.75011573169632e+001
3.54813389233573e+003	4.70000000000000e+002,-6.59646433877305e+001
3.63078054770099e+003	4.70000000000000e+002,-6.44631047855664e+001
3.71535229097170e+003	4.70000000000000e+002,-6.29957453748313e+001
3.80189396320558e+003	4.70000000000000e+002,-6.15617871421394e+001
3.89045144994278e+003	4.70000000000000e+002,-6.01604697838567e+001
3.98107170553494e+003	4.70000000000000e+002,-5.87910503029726e+001
4.07380277804110e+003	4.70000000000000e+002,-5.74528026151507e+001
4.16869383470332e+003	4.70000000000000e+002,-5.61450171637525e+001
4.26579518801589e+003	4.70000000000000e+002,-5.48670005436216e+001
4.36515832240162e+003	4.70000000000000e+002,-5.36180751334292e+001
4.46683592150960e+003	4.70000000000000e+002,-5.23975787363924e+001
4.57088189614871e+003	4.70000000000000e+002,-5.12048642291657e+001
4.67735141287194e+003	4.70000000000000e+002,-5.00392992187294e+001
4.78630092322634e+003	4.70000000000000e+002,-4.89002657070871e+001
4.89778819368442e+003	4.70000000000000e+002,-4.77871597635947e+001
5.01187233627268e+003	4.70000000000000e+002,-4.66993912047467e+001
5.12861383991361e+003	4.70000000000000e+002,-4.56363832812547e+001
5.24807460249768e+003	4.70000000000000e+002,-4.45975723722484e+001
5.37031796370248e+003	4.70000000000000e+002,-4.35824076864315e+001
5.49540873857620e+003	4.70000000000000e+002,-4.25903509700506e+001
5.62341325190344e+003	4.70000000000000e+002,-4.16208762215063e+001
5.75439937337152e+003	4.70000000000000e+002,-4.06734694124502e+001
5.88843655355584e+003	4.70000000000000e+002,-3.97476282152541e+001
6.02559586074353e+003	4.70000000000000e+002,-3.88428617366594e+001
6.16595001861477e+003	4.70000000000000e+002,-3.79586902575037e+001
6.30957344480188e+003	4.70000000000000e+002,-3.70946449783651e+001
6.45654229034650e+003	4.70000000000000e+002,-3.62502677710008e+001
6.60693448007590e+003	4.70000000000000e+002,-3.54251109354361e+001
6.76082975391976e+003	4.70000000000000e+002,-3.46187369625966e+001
6.91830970918931e+003	4.70000000000000e+002,-3.38307183023282e+001
7.07945784384132e+003	4.70000000000000e+002,-3.30606371367067e+001
7.24435960074984e+003	4.70000000000000e+002,-3.23080851585021e+001
7.41310241300911e+003	4.70000000000000e+002,-3.15726633546989e+001
7.58577575029177e+003	4.70000000000000e+002,-3.08539817949191e+001
7.76247116628685e+003	4.70000000000000e+002,-3.01516594246891e+001
7.94328234724275e+003	4.70000000000000e+002,-2.94653238633887e+001
8.12830516164092e+003	4.70000000000000e+002,-2.87946112068199e+001
8.31763771102664e+003	4.70000000000000e+002,-2.81391658342569e+001
8.51138038202369e+003	4.70000000000000e+002,-2.74986402198842e+001
8.70963589956073e+003	4.70000000000000e+002,-2.68726947485421e+001
8.91250938133738e+003	4.70000000000000e+002,-2.62609975356597e+001
9.12010839355902e+003	4.70000000000000e+002,-2.56632242512762e+001
9.33254300796983e+003	4.70000000000000e+002,-2.50790579480837e+001
9.54992586021428e+003	4.70000000000000e+002,-2.45081888933753e+001
9.77237220955802e+003	4.70000000000000e+002,-2.39503144048206e+001
9.99999999999991e+003	4.70000000000000e+002,-2.34051386899861e+001
1.02329299228075e+004	4.70000000000000e+002,-2.28723726894875e+001
1.04712854805089e+004	4.70000000000000e+002,-2.23517339237401e+001
1.07151930523760e+004	4.70000000000000e+002,-2.18429463431784e+001
1.09647819614318e+004	4.70000000000000e+002,-2.13457401818936e+001
1.12201845430195e+004	4.70000000000000e+002,-2.08598518145998e+001
1.14815362149687e+004	4.70000000000000e+002,-2.03850236168504e+001
1.17489755493952e+004	4.70000000000000e+002,-1.99210038284486e+001
1.20226443461740e+004	4.70000000000000e+002,-1.94675464199615e+001
1.23026877081237e+004	4.70000000000000e+002,-1.90244109622716e+001
1.25892541179416e+004	4.70000000000000e+002,-1.85913624990929e+001
1.28824955169312e+004	4.70000000000000e+002,-1.81681714223943e+001
1.31825673855640e+004	4.70000000000000e+002,-1.77546133506723e+001
1.34896288259164e+004	4.70000000000000e+002,-1.73504690099542e+001
1.38038426460287e+004	4.70000000000000e+002,-1.69555241175659e+001
1.41253754462274e+004	4.70000000000000e+002,-1.65695692685016e+001
1.44543977074591e+004	4.70000000000000e+002,-1.61923998243867e+001
1.47910838816819e+004	4.70000000000000e+002,-1.58238158049865e+001
1.51356124843619e+004	4.70000000000000e+002,-1.54636217821815e+001
1.54881661891247e+004	4.70000000000000e+002,-1.51116267763302e+001
1.58489319246110e+004	4.70000000000000e+002,-1.47676441550260e+001
1.62181009735891e+004	4.70000000000000e+002,-1.44314915341205e+001
1.65958690743755e+004	4.70000000000000e+002,-1.41029906810514e+001
1.69824365246173e+004	4.70000000000000e+002,-1.37819674203152e+001
1.73780082874936e+004	4.70000000000000e+002,-1.34682515411291e+001
1.77827941003891e+004	4.70000000000000e+002,-1.31616767071880e+001
1.81970085860997e+004	4.70000000000000e+002,-1.28620803684536e+001
1.86208713666285e+004	4.70000000000000e+002,-1.25693036749773e+001
1.90546071796323e+004	4.70000000000000e+002,-1.22831913926852e+001
1.94984459975803e+004	4.70000000000000e+002,-1.20035918210555e+001
1.99526231496886e+004	4.70000000000000e+002,-1.17303567126963e+001
2.04173794466951e+004	4.70000000000000e+002,-1.14633411947359e+001
2.08929613085402e+004	4.70000000000000e+002,-1.12024036920114e+001
2.13796208950221e+004	4.70000000000000e+002,-1.09474058520081e+001
2.18776162394953e+004	4.70000000000000e+002,-1.06982124714913e+001
2.23872113856832e+004	4.70000000000000e+002,-1.04546914248342e+001
2.29086765276775e+004	4.70000000000000e+002,-1.02167135939556e+001
2.34422881531990e+004	4.70000000000000e+002,-9.98415279985777e+000
2.39883291901947e+004	4.70000000000000e+002,-9.75688573572720e+000
2.45470891568501e+004	4.70000000000000e+002,-9.53479190157412e+000
2.51188643150956e+004	4.70000000000000e+002,-9.31775354028137e+000
2.57039578276884e+004	4.70000000000000e+002,-9.10565557525361e+000
2.63026799189536e+004	4.70000000000000e+002,-8.89838554934543e+000
2.69153480392689e+004	4.70000000000000e+002,-8.69583356523377e+000
2.75422870333814e+004	4.70000000000000e+002,-8.49789222717979e+000
2.81838293126443e+004	4.70000000000000e+002,-8.30445658407488e+000
2.88403150312658e+004	4.70000000000000e+002,-8.11542407377228e+000
2.95120922666636e+004	4.70000000000000e+002,-7.93069446872971e+000
3.01995172040199e+004	4.70000000000000e+002,-7.75016982287202e+000
3.09029543251356e+004	4.70000000000000e+002,-7.57375441963490e+000
3.16227766016835e+004	4.70000000000000e+002,-7.40135472124815e+000
3.23593656929625e+004	4.70000000000000e+002,-7.23287931910554e+000
3.31131121482588e+004	4.70000000000000e+002,-7.06823888530693e+000
3.38844156139199e+004	4.70000000000000e+002,-6.90734612532857e+000
3.46736850452528e+004	4.70000000000000e+002,-6.75011573169681e+000
3.54813389233572e+004	4.70000000000000e+002,-6.59646433877467e+000
3.63078054770098e+004	4.70000000000000e+002,-6.44631047855306e+000
3.71535229097169e+004	4.70000000000000e+002,-6.29957453748198e+000
3.80189396320557e+004	4.70000000000000e+002,-6.15617871421559e+000
3.89045144994277e+004	4.70000000000000e+002,-6.01604697838448e+000
3.98107170553493e+004	4.70000000000000e+002,-5.87910503029228e+000
4.07380277804108e+004	4.70000000000000e+002,-5.74528026151695e+000
4.16869383470331e+004	4.70000000000000e+002,-5.61450171637936e+000
4.26579518801588e+004	4.70000000000000e+002,-5.48670005436173e+000
4.36515832240161e+004	4.70000000000000e+002,-5.36180751333619e+000
4.46683592150958e+004	4.70000000000000e+002,-5.23975787364005e+000
4.57088189614870e+004	4.70000000000000e+002,-5.12048642291842e+000
4.67735141287193e+004	4.70000000000000e+002,-5.00392992186328e+000
4.78630092322633e+004	4.70000000000000e+002,-4.89002657070744e+000
4.89778819368441e+004	4.70000000000000e+002,-4.77871597635919e+000
5.01187233627267e+004	4.70000000000000e+002,-4.66993912047401e+000
5.12861383991359e+004	4.70000000000000e+002,-4.56363832812777e+000
5.24807460249767e+004	4.70000000000000e+002,-4.45975723721319e+000
5.37031796370247e+004	4.70000000000000e+002,-4.35824076865126e+000
5.49540873857619e+004	4.70000000000000e+002,-4.25903509700455e+000
5.62341325190343e+004	4.70000000000000e+002,-4.16208762214984e+000
5.75439937337151e+004	4.70000000000000e+002,-4.06734694125332e+000
5.88843655355583e+004	4.70000000000000e+002,-3.97476282152432e+000
6.02559586074351e+004	4.70000000000000e+002,-3.88428617367239e+000
6.16595001861475e+004	4.70000000000000e+002,-3.79586902575437e+000
6.30957344480186e+004	4.70000000000000e+002,-3.70946449784156e+000
6.45654229034648e+004	4.70000000000000e+002,-3.62502677710320e+000
6.60693448007589e+004	4.70000000000000e+002,-3.54251109353944e+000
6.76082975391974e+004	4.70000000000000e+002,-3.46187369625678e+000
6.91830970918929e+004	4.70000000000000e+002,-3.38307183023033e+000
7.07945784384130e+004	4.70000000000000e+002,-3.30606371367117e+000
7.24435960074982e+004	4.70000000000000e+002,-3.23080851584693e+000
7.41310241300909e+004	4.70000000000000e+002,-3.15726633547340e+000
7.58577575029175e+004	4.70000000000000e+002,-3.08539817949212e+000
7.76247116628683e+004	4.70000000000000e+002,-3.01516594247681e+000
7.94328234724272e+004	4.70000000000000e+002,-2.94653238634402e+000
8.12830516164090e+004	4.70000000000000e+002,-2.87946112067667e+000
8.31763771102661e+004	4.70000000000000e+002,-2.81391658343383e+000
8.51138038202367e+004	4.70000000000000e+002,-2.74986402198271e+000
8.70963589956071e+004	4.70000000000000e+002,-2.68726947485550e+000
8.91250938133735e+004	4.70000000000000e+002,-2.62609975357330e+000
9.12010839355899e+004	4.70000000000000e+002,-2.56632242513014e+000
9.33254300796980e+004	4.70000000000000e+002,-2.50790579480117e+000
9.54992586021425e+004	4.70000000000000e+002,-2.45081888932852e+000
9.77237220955799e+004	4.70000000000000e+002,-2.39503144049278e+000
1.00000000000000e+005	4.70000000000000e+002,-2.34051386900914e+000
